"Cera.spA" "Cera.spB" "Cera.spC" "Cera.spD" "Cera.spE" "Cer.spH" "Spin.spA" "Odon.ruci" "Odon.turn" "Plat.SpA" "Rhyt.spA" "Rhyt.spB" "Rhyt.spC" "Card.spA" "Crema.quee" "Mera.spA" "Mera.spB" "Mera.spC" "Mera.spD" "Mera.spE" "Mera.spF" "Mera.spG" "Mera.spH" "Mono.spA" "Mono.spB" "Mono.spD" "Mono.spE" "Mono.spF" "Mono.spG" "Mono.spH" "Mono.spJ" "Mono.spK" "Mono.spL" "Mono.spM" "Mono.spR" "Mono.spW" "Phei.spB" "Phei.spC" "Phei.spE" "Phei.spH" "Phei.spI" "Phei.spJ" "Phei.spK" "Phei.spL" "Phei.spM" "Tetr.sjos" "Tetr.spA" "Tetr.spB" "Dole.spA" "Irid.sang" "Irid.spA" "Irid.spC" "Irid.spD" "Irid.spI" "Irid.spJ" "Tapin.spA" "Tapin.spB" "Camp.spA" "Camp.fiel" "Camp.spC" "Camp.spD" "Camp.spE" "Camp.spF" "Camp.spG" "Camp.spH" "Camp.spI" "Camp.spJ" "Camp.spK" "Melo.spA" "Melo.spB" "Melo.spC" "Melo.spD" "Melo.spE" "Melo.spF" "Melo.spG" "Melo.spH" "Melo.spI" "Melo.spJ" "Melo.spK" "Melo.spL" "Melo.spM" "Melo.spP" "Melo.spQ" "Opis.hadd" "Para.spA" "Para.spB" "Para.spC" "Poly.inco" "Poly.prom" "Poly.seni" "Poly.spD" "BurnLevel"
"E2b" 0 0 0 0 0 0 0 0 0 0 1 9 5 0 1 0 3 0 0 1 0 0 0 0 7 0 0 22 6 53 21 18 0 1 3 0 0 0 0 7 0 11 0 0 0 0 3 6 0 0 488 2 4 0 0 2 0 1 0 1 0 1 0 0 5 2 7 0 0 1 8 1 0 3 5 0 0 0 4 3 0 0 0 1 0 0 0 2 0 2 1 "E2b"
"E3b" 0 0 0 0 0 0 0 1 0 0 1 7 4 0 3 0 2 0 0 0 0 0 0 2 18 0 11 5 0 14 25 17 0 5 0 0 0 0 0 8 0 12 1 0 3 0 4 4 1 0 481 7 14 2 0 6 2 3 0 0 0 0 0 0 1 5 7 0 0 1 3 1 0 6 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 "E3b"
"L2b" 0 0 0 0 1 0 0 0 0 4 2 8 0 1 3 0 0 0 0 0 0 0 0 0 8 1 32 16 0 32 30 2 0 0 0 0 0 0 0 18 0 4 1 9 0 0 8 2 0 8 476 15 5 3 17 3 0 0 0 2 0 0 0 0 6 24 1 0 1 8 9 4 0 1 2 0 0 0 6 0 0 0 0 5 0 0 0 2 1 12 0 "L2b"
"L3b" 0 0 0 0 0 0 0 0 0 0 0 5 0 0 2 0 1 0 0 0 0 0 0 0 3 0 0 8 0 3 1 3 0 1 0 2 0 0 0 2 1 2 0 0 0 0 4 4 0 0 452 1 0 0 0 0 0 0 0 1 0 0 0 1 6 3 1 0 0 0 2 0 0 3 4 0 0 0 2 0 0 0 0 2 0 0 0 0 0 3 0 "L3b"
"Ub" 0 0 0 0 0 0 0 0 0 0 3 35 12 0 2 0 0 0 0 0 0 0 0 0 7 0 0 26 0 10 3 4 2 0 0 0 3 0 0 8 18 10 3 0 0 0 12 6 0 15 238 2 1 0 0 3 0 3 0 0 0 0 0 0 3 5 1 0 0 0 0 0 0 0 14 0 0 1 0 0 0 0 0 5 0 1 0 2 0 11 0 "Ub"
"E2r" 0 1 0 1 0 1 1 0 1 0 8 1 0 0 10 33 14 0 37 5 0 0 0 104 138 132 73 58 18 197 0 0 4 0 3 0 125 0 22 0 0 0 0 0 0 37 13 23 0 0 504 3 46 7 6 0 1 11 0 0 0 4 4 1 0 0 0 0 27 46 0 7 0 3 0 5 2 0 0 2 0 0 0 11 1 33 0 1 0 1 0 "E2r"
"E3r" 3 0 1 0 0 0 0 2 0 8 20 20 0 1 0 12 41 4 21 0 2 2 0 56 139 26 131 38 20 171 23 10 11 0 4 0 118 0 10 0 0 0 0 0 0 3 33 46 0 19 420 25 70 0 23 2 5 7 0 0 0 10 4 1 0 0 0 1 46 27 0 15 1 1 0 25 37 1 0 3 1 2 0 11 0 20 0 0 0 11 0 "E3r"
"L2r" 1 0 0 0 0 0 0 1 1 39 21 3 0 0 19 20 14 7 14 0 1 4 0 127 95 39 222 9 5 121 45 4 5 0 0 2 147 0 5 0 0 0 0 0 0 1 20 22 0 4 475 19 44 2 6 7 1 11 0 2 2 4 1 1 0 0 0 0 70 55 3 23 1 0 0 12 3 0 0 0 0 0 0 7 4 60 1 1 4 15 0 "L2r"
"L3r" 0 0 0 0 0 0 0 1 0 30 6 9 0 0 2 10 42 1 6 0 11 2 2 151 190 50 180 46 0 95 0 4 1 0 1 0 90 1 5 0 0 0 0 0 0 10 28 40 0 55 394 36 59 8 0 3 0 1 0 0 1 5 2 0 0 0 0 0 65 61 0 13 1 0 0 1 20 2 0 0 0 0 1 3 1 16 0 0 1 4 0 "L3r"
"Ur" 0 0 0 0 0 0 0 2 0 3 1 3 0 0 16 33 6 1 14 0 3 0 0 76 259 52 95 12 0 134 6 0 14 0 0 1 106 0 16 0 0 0 0 0 0 50 13 16 0 1 496 5 95 3 3 0 3 6 2 0 0 8 6 1 0 0 0 0 40 29 3 15 6 1 0 3 3 0 0 0 0 1 0 28 0 39 0 0 0 1 0 "Ur"
