abund	elevation	road.dens	stream.den	mps.CS	mps.S	contagion	conifer	saw	pole	sapling
0.028571429	635	19	29	17.19	58.43	55.79	56.61	0.71	93.61	0
0.4375	533	1	28	22.54	61.98	67.14	64.02	80.15	19.85	0
0.378378378	396	11	32	10.04	22.39	70.66	49.2	43.44	49.18	0
0.558823529	342	18	32	17.93	35.87	46.25	31.41	57.23	30.75	0
0.342857143	369	30	30	11.8	16.97	69.44	29.3	24.46	33.24	27.15
0.28125	327	34	38	11.91	25.01	67.52	5.54	39.89	28.69	17.4
0.675675676	328	9	30	26.85	147.66	49.2	44.83	60.36	39.64	0
0.235294118	329	27	27	19.53	68.36	61.57	68.36	19.45	77.07	3.48
0.558823529	351	16	29	37.65	65.88	67.43	85.26	82.16	7.58	0.44
0.625	369	3	33	29.88	268.91	100	4.18	100	0	0
0	518	19	32	14.03	53.3	69.65	63.18	0	74.53	15.85
0.212121212	576	20	32	11.49	25.29	82.66	72.94	17.91	47.29	22.45
0.638888889	246	16	32	14.95	40.58	59.31	47.65	59.1	34.84	0
0.970588235	419	33	51	17.04	85.14	48.02	54.59	79.7	0	9.06
0.714285714	335	13	28	31.26	281.3	38.4	58.85	100	0	0
0.459459459	359	13	36	19.14	53.59	58.42	71.89	79.46	1.9	11.7
0.294117647	214	7	33	10.75	89.56	60.69	72.95	19.07	79.26	0
0.27027027	225	10	32	15.89	57.22	52.32	65.43	41.57	58.43	0
0.666666667	613	20	38	14.83	84.06	57.41	80.86	60.63	27.87	11.5
0.393939394	299	20	38	9.69	18.7	72.67	35.11	39.6	39.05	2.13
0.263157895	356	36	34	15.42	97.68	42.12	55.89	22.31	73.44	4.25
0.085714286	533	23	33	14.57	55.35	81.67	38.8	0.82	86.89	8.5
0.2	275	25	33	10.53	39.12	70.47	58.98	39.94	47.18	0
0.194444444	661	20	29	6.62	11.86	74.9	69.37	39.73	28	10.92
0.393939394	254	19	31	19.62	31.88	70.06	55.52	62.95	8.51	19.11
0.171428571	493	24	30	13.68	39.07	66.62	60.76	21.61	58.77	18.64
0.342105263	380	18	23	17.42	42.3	59.94	21.85	77.51	0	7.62
0.617647059	425	20	32	20.79	135.12	34.32	69.29	76.79	23.21	0
0.459459459	510	4	28	55.96	279.78	45.22	28.4	100	0	0
0.297297297	365	15	35	11.88	95.07	50.52	17.86	59.25	39.23	0
