plot,count
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,2
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
1,0
2,1
3,0
4,1
5,0
6,1
7,0
8,2
9,0
10,5
11,4
12,0
13,1
14,0
14,3
16,1
17,0
18,0
19,1
20,0
21,1
22,3
23,5
24,57
25,0
26,0
27,0
28,0
29,4
30,2
31,0
32,4
33,2
34,6
35,1
36,2
37,0
38,2
39,0
40,0
41,1
42,1
43,1
44,0
45,5
46,1
47,13
48,57
49,0
50,0
1,4
2,0
3,2
4,0
5,26
6,0
7,0
8,0
9,4
10,0
11,3
12,0
13,5
14,0
15,0
16,0
17,0
18,37
19,0
20,2
21,0
22,12
23,1
24,0
25,0
26,0
27,5
28,2
29,1
30,0
31,38
32,3
33,4
34,0
35,0
36,41
37,21
38,0
39,0
40,2
41,5
42,5
43,13
44,2
45,2
46,0
47,0
48,0
49,0
50,4
1,1
2,0
3,1
4,2
5,0
6,7
7,0
8,0
9,1
10,1
11,1
12,2
13,0
14,3
15,1
16,1
17,1
18,0
19,0
20,16
21,0
22,0
23,0
24,0
25,0
26,10
27,1
28,1
29,0
30,2
