coy,fx,mart,depth,penetrat,tt,elevation
0,0,3,16.4,12,hike,946.0328069
0,0,1,22.2,19.6,hike,946.0328069
3,3,1,59.8,14.8,hike,946.0328069
1,0,0,61.8,9.6,hike,946.0328069
0,0,2,14.2,14.8,hike,836.836051
4,0,1,55.8,13.8,hike,836.836051
0,0,2,69.8,11.8,hike,836.836051
0,0,1,7,5,hike,836.836051
0,0,3,15.8,13.4,hike,820.4269195
0,0,2,45.8,32.8,hike,820.4269195
0,0,2,72,18.8,hike,820.4269195
0,0,2,113.2,42,hike,820.4269195
0,1,3,90.2,19,hike,820.4269195
1,0,0,23.8,8.6,hike,820.4269195
0,3,2,16.8,14.6,hike,736.0679876
0,0,4,24.8,14.4,hike,736.0679876
0,0,1,48.4,6.2,hike,736.0679876
1,7,1,62.8,7.2,hike,736.0679876
0,0,1,4,3.8,hike,736.0679876
0,0,3,20,16.2,hike,644.1703546
0,0,4,33.6,13.2,hike,644.1703546
0,0,2,61.6,6.2,hike,644.1703546
0,1,1,77,9.6,hike,644.1703546
0,0,3,6.8,7.2,hike,644.1703546
0,0,1,7.6,6.2,road,705.9978553
0,1,0,37.4,6.8,road,705.9978553
0,5,0,69.2,32,road,705.9978553
4,4,0,56.6,15,road,705.9978553
0,1,2,10.2,9,road,705.9978553
2,0,0,23.2,15.2,road,766.1072576
0,1,0,51.6,16.8,road,766.1072576
0,7,0,106,46,road,766.1072576
2,7,0,76.2,13.4,road,766.1072576
0,6,0,40.6,13.4,road,766.1072576
10,0,0,17.2,14.2,road,814.4940275
0,1,0,36.4,12.8,road,814.4940275
7,5,1,64.2,12.4,road,814.4940275
0,5,0,14.8,10.4,road,814.4940275
90,0,2,25.2,21.4,road,907.5884379
0,4,0,34.6,11.6,road,907.5884379
0,0,2,68.2,33.2,road,907.5884379
2,4,0,65.6,15.6,road,907.5884379
0,9,1,11,10,road,907.5884379
0,0,1,71.4,26,road,987.5565896
0,0,1,111.6,43.6,road,987.5565896
0,1,0,36.6,6.4,road,659.7277318
0,6,0,7,5,road,659.7277318
0,1,0,17.2,16.8,road,725.144425
0,4,0,110.6,42.4,road,725.144425
4,6,0,79.8,13.8,road,725.144425
0,9,0,8.4,7.8,road,725.144425
0,2,0,14,12.8,road,829.433031
0,4,0,106.4,25.8,road,829.433031
4,7,0,98.8,5.4,road,829.433031
0,3,0,14,12,road,829.433031
0,3,0,10.6,11.6,road,901.1809911
3,6,0,62.6,10.4,road,901.1809911
0,3,1,11.8,10.8,road,901.1809911
0,1,0,10,9.8,road,982.194006
0,0,1,55.8,19.4,road,982.194006
0,12,0,80.2,7.6,road,982.194006
0,1,0,18.6,11,road,982.194006
0,1,1,15.2,13.4,road,999.3836414
0,0,2,33.8,21.6,road,999.3836414
0,5,0,107.8,14.6,road,999.3836414
0,1,0,25.6,10.8,road,999.3836414
0,0,1,27,27.2,road,1033.573223
0,4,0,93.6,8.2,road,1033.573223
4,0,0,17.4,10,snomobil,668.3368343
2,2,0,61,9.2,snomobil,668.3368343
2,0,0,8.2,4.6,snomobil,762.4022543
0,0,3,63.4,16.6,snomobil,841.5621021
0,1,0,79.6,13.6,snomobil,841.5621021
0,2,1,10.6,8,snomobil,841.5621021
0,0,1,12.4,13,snomobil,873.6063408
0,0,1,66.8,19.2,snomobil,873.6063408
0,0,2,84.4,10.6,snomobil,873.6063408
0,2,1,10.8,8.8,snomobil,873.6063408
0,0,1,92.6,19.8,hike,1032.579898
0,0,1,97,9.4,hike,1032.579898
0,0,1,11,11,hike,959.4872361
0,0,4,34.2,30,hike,959.4872361
0,0,1,101.6,43.8,hike,959.4872361
0,0,1,27.8,10,hike,959.4872361
0,0,0,11.4,9.6,hike,833.6011126
0,0,3,25.8,18.6,hike,833.6011126
0,0,2,71,15.6,hike,833.6011126
0,0,1,107,34.6,hike,833.6011126
0,2,1,92.6,14.6,hike,833.6011126
0,0,55,22.8,12,hike,833.6011126
0,0,4,34.8,19.8,hike,797.1571162
0,0,5,73.2,20,hike,797.1571162
0,0,2,108.8,46.2,hike,797.1571162
0,10,1,97.4,22,hike,797.1571162
0,0,5,48.8,14.2,hike,797.1571162
0,0,2,34,5,hike,696.6875482
0,2,0,35.8,7,hike,696.6875482
0,4,0,16,14.2,snomobil,640.8831964
1,1,0,40,15.6,snomobil,640.8831964
0,4,0,61.4,7.4,snomobil,640.8831964
0,0,0,102,39,snomobil,640.8831964
4,4,2,80,9.6,snomobil,640.8831964
1,1,0,9,7.6,snomobil,640.8831964
0,8,0,14,13,snomobil,733.1564603
0,0,1,35,17.8,snomobil,733.1564603
2,2,2,79.8,12,snomobil,733.1564603
1,1,1,4,3.6,snomobil,733.1564603
0,1,1,19.4,18,snomobil,844.215294
0,0,2,47.2,38,snomobil,844.215294
0,0,3,80.6,18.6,snomobil,844.215294
14,6,3,114,22.2,snomobil,844.215294
0,8,1,68.2,13,snomobil,844.215294
